YANGIN_TURU,YANGIN_SEBEBI,YANGIN_SONUCU,YAPI_SEKLI,VARIS_SURESI,KULLANILAN_KOPUK_MIKTARI,KULLANILAN_SU_MIKTARI,KULLANILAN_KURU_KIMYEVI_TOZ_MIKTARI,EKIPLERIN_CIKIS_SAATI,ILCE,ADRES_BOLGESI,TOTAL_VEFAT,TOTAL_YARALI,TOTAL_HAYVAN_VEFAT
BİNA,KIVILCIM(BACA),BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,4.0,0.0,1.0,0.0,45.0,KARABAĞLAR,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3.0,0.0,0.5,0.0,244.99999999999997,KONAK,KENT MERKEZİ,0,0,0
BİNA,ŞÜPHELİ,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,2.0,0.0,0.0,0.0,275.0,KONAK,KENT MERKEZİ,0,0,0
ARAÇ,KAZA SONUCU,KISMEN YANARAK KURTARILAN,YAPI_DEGIL,4.0,0.0,2.0,0.0,305.0,BORNOVA,KENT MERKEZİ,0,0,0
ARAÇ,İHMAL/DİKKATSİZLİK,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,6.0,0.0,0.4,0.0,360.0,URLA,KENT MERKEZİ,0,2,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3.0,0.0,1.5,0.0,1235.0,KONAK,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,8.0,0.0,1.0,0.0,1542.5,TORBALI,KIRSAL BÖLGE,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,4.0,0.0,0.0,0.0,1717.5,ÇİĞLİ,KENT MERKEZİ,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,9.0,0.0,0.5,0.0,1727.5,SEFERİHİSAR,KIRSAL BÖLGE,0,0,0
BİNA,İHMAL/DİKKATSİZLİK,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,3.0,0.0,0.0,0.0,1852.5,KINIK,KENT MERKEZİ,1,0,0
OT,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,8.0,0.0,3.0,0.0,1872.5,SEFERİHİSAR,KIRSAL BÖLGE,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5.0,0.0,1.0,0.0,1932.5000000000002,MENEMEN,KENT MERKEZİ,0,0,0
KARGILIK,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,8.0,0.0,35.0,0.0,1944.9999999999998,MENEMEN,KIRSAL BÖLGE,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,3.0,0.0,0.0,0.0,2019.9999999999998,BAYRAKLI,KENT MERKEZİ,0,0,0
BİNA,KIVILCIM(BACA),BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,3.0,0.0,0.5,0.0,2072.5,BERGAMA,KENT MERKEZİ,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,10.0,0.0,2.0,0.0,2157.5,SEFERİHİSAR,KIRSAL BÖLGE,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,2.0,0.0,0.1,0.0,2327.5,KONAK,KENT MERKEZİ,0,0,0
OT,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,21.0,0.0,0.1,0.0,2397.5,URLA,KIRSAL BÖLGE,0,0,0
OT,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3.0,0.0,0.5,0.0,2477.5,DİKİLİ,KIRSAL BÖLGE,0,0,0
BİNA,PARLAMA (AKARYAKIT MADDESİ),BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,3.0,0.0,0.0,6.0,2500.0,TORBALI,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3.0,0.0,0.1,0.0,2555.0,KONAK,KENT MERKEZİ,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,5.0,0.0,0.0,0.0,2655.0,ÇİĞLİ,KENT MERKEZİ,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,4.0,0.0,1.0,0.0,2680.0,ALİAĞA,KENT MERKEZİ,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5.0,0.0,0.1,0.0,2687.5,KONAK,KENT MERKEZİ,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5.0,0.0,1.0,0.0,2885.0,KARŞIYAKA,KENT MERKEZİ,0,0,0
BİNA,KASIT,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,3.0,0.0,0.2,0.0,2900.0,KONAK,KENT MERKEZİ,0,0,0
ÇÖP,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5.0,0.0,0.5,0.0,2917.5,BORNOVA,KENT MERKEZİ,0,0,0
OT,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,4.0,0.0,0.0,0.0,3020.0,MENEMEN,KIRSAL BÖLGE,0,0,0
BİNA,PARLAMA (AKARYAKIT MADDESİ),BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,9.0,0.0,0.0,6.0,3117.5,TORBALI,KIRSAL BÖLGE,0,0,0
ÇÖP,SİGARA/KİBRİT,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,5.0,0.0,0.3,0.0,3210.0,BAYRAKLI,KENT MERKEZİ,0,0,0
LASTİK,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,3.0,0.0,0.2,0.0,3307.5,DİKİLİ,KIRSAL BÖLGE,0,0,0
OT,AÇIK ATEŞ,BAŞLANGIÇTA SÖNDÜRÜLEN,YAPI_DEGIL,4.0,0.0,1.0,0.0,3320.0,SELÇUK,KIRSAL BÖLGE,0,0,0
BİNA,ELEKT. KISA DEV./ELEKT. KONTAĞI,BAŞLANGIÇTA SÖNDÜRÜLEN,BETONARME,2.0,0.0,0.0,0.0,3332.5,BORNOVA,KENT MERKEZİ,0,0,0
